# Auto-generated category rules from MobileSentrix categories
# Format: keyword|Categoria WooCommerce (hierarhie cu '>')

macbook-pro-unibody-15-a1286-early-2011|Piese de schimb > Apple
macbook-pro-unibody-17-a1297-early-2009|Piese de schimb > Apple
macbook-pro-unibody-13-a1278-early-2011|Piese de schimb > Apple
galaxy-note-10-1-2014-edition-p600-p605|Piese de schimb > Samsung
pro-15-touch-bar-a1990-a1707-2018-2019|Accesorii > Alte accesorii
macbook-pro-unibody-15-a1286-late-2008|Piese de schimb > Apple
macbook-pro-unibody-15-a1286-mid-2009|Piese de schimb > Apple
macbook-pro-unibody-17-a1297-mid-2010|Piese de schimb > Apple
macbook-pro-unibody-15-a1286-mid-2010|Piese de schimb > Apple
macbook-pro-unibody-13-a1278-mid-2009|Piese de schimb > Apple
macbook-pro-unibody-13-a1278-mid-2010|Piese de schimb > Apple
galaxy-tab-10-1-p7510-p7500-t859-i905|Piese de schimb > Samsung
lenovo-smart-tab-m10-hd-2nd-gen-2020|Piese de schimb > Alte piese
power-testers-iboot-ipower-w103-etc|Accesorii > Alte accesorii
lg-gpad-f-8-0-v495-uk495-v496-ak495|Piese de schimb > Alte piese
kindle-fire-hd-8-plus-12th-gen-2022|Piese de schimb > Alte piese
razr-plus-razr-60-ultra-xt2551-2025|Piese de schimb > Motorola
mac-studio-a2901-2023-m2-max-ultra|Piese de schimb > Apple
mac-studio-a2615-2022-m1-max-ultra|Piese de schimb > Apple
genuine-macbook-replacement-parts|Piese de schimb > Apple
razr-60-pro-razr-plus-xt2557-2025|Piese de schimb > Motorola
galaxy-tab-a-8-0-2018-t387w-t387v|Piese de schimb > Samsung
galaxy-tab-a8-10-5-2021-x200-x205|Piese de schimb > Samsung
pro-touch-bar-13-a1989-2018-2019|Accesorii > Alte accesorii
microsoft-surface-book-2-1793-15|Piese de schimb > Alte piese
mac-pro-rack-a2787-2023-m2-ultra|Piese de schimb > Apple
galaxy-tab-a-10-1-t510-t515-2019|Piese de schimb > Samsung
samsung-galaxy-j5-duos-2016-j510|Piese de schimb > Samsung
alcatel-one-touch-idol-4-dtek50|Piese de schimb > Alte piese
kindle-fire-hd-10-13th-gen-2023|Piese de schimb > Alte piese
macbook-air-13-a1466-early-2014|Piese de schimb > Apple
macbook-air-13-a1466-early-2015|Piese de schimb > Apple
macbook-air-11-a1465-early-2014|Piese de schimb > Apple
galaxy-tab-a-8-0-2017-t380-t385|Piese de schimb > Samsung
air-13-retina-a2179-a1932-2020|Accesorii > Alte accesorii
air-13-retina-a1932-a2179-2020|Accesorii > Alte accesorii
motherboard-holders-preheaters|Accesorii > Suport telefon
kindle-fire-hd-8-12th-gen-2022|Piese de schimb > Alte piese
lg-gpad-x-8-0-v520-v521wg-v522|Piese de schimb > Alte piese
macbook-air-13-a1304-late-2008|Piese de schimb > Apple
macbook-air-11-a1370-late-2010|Piese de schimb > Apple
macbook-air-13-a1369-late-2010|Piese de schimb > Apple
macbook-air-13-a1932-late-2018|Piese de schimb > Apple
moto-g-play-2023-xt2271-5-jk50|Piese de schimb > Motorola
pro-13-retina-a1425-2012-2013|Accesorii > Alte accesorii
lenovo-smart-tab-m10-fhd-plus|Piese de schimb > Alte piese
kindle-fire-hd-8-8th-gen-2018|Piese de schimb > Alte piese
moto-g06-power-xt2535-10-2025|Piese de schimb > Motorola
edge-50-fusion-5g-xt2429-2024|Piese de schimb > Motorola
moto-e7i-power-xt2097-12-2021|Piese de schimb > Motorola
air-11-a1465-a1370-2012-2015|Accesorii > Alte accesorii
air-13-a1466-a1369-2012-2017|Accesorii > Alte accesorii
cable-testers-chargerlab-etc|Accesorii > Incarcatoare
